Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
404351,03b4acfeedc59de882ba5827e44c5080c5b48a8827f29c4dce6edea0b3853193,2016-03-26,2016-03-26 10:02:38,54498,217992,210302,210289,12.2996
404351,d437968ccb280d71c0c12dce98ab4d1bd818ef97bffbdf995938c41b3a0fe574,2016-03-26,2016-03-26 10:02:38,10256,41024,1540.99,1538.68,2.31314
404351,394c9dfef3173055be3ac4096b2b9801046812f6b4baeb1e8ff0dcac23f196c2,2016-03-26,2016-03-26 10:02:38,97251,389004,420591,420570,20.7629
404351,8f14287c942dff4fdd56f4892b397796d9ed1026e9a0a5a4c83e8406a6f6a815,2016-03-26,2016-03-26 10:02:38,80730,322920,420587,420570,17.2001
404351,eaac63f13c1318b71d5c387acf7e36cc834eac43fdcd28851a11e22c405431a1,2016-03-26,2016-03-26 10:02:38,57001,228004,210301,210289,12.051
404351,2a66989a7812e7346a8d60ba2168a25d416380d8d8a092d3db8be4cfe6a1b313,2016-03-26,2016-03-26 10:02:38,60220,240880,210298,210285,12.7035
404351,44251679c83f259a111a0214e5b676eb3a6124e8fa752efe1eb7956441cbcf1f,2016-03-26,2016-03-26 10:02:38,58894,235576,210297,210285,12.422
404351,551707f6a43d11d413613349148f4b0cc0ea021f1ec6d5ce4bf9c69789dac897,2016-03-26,2016-03-26 10:02:38,59484,237936,210298,210285,12.5418
404351,95664e42d4e733b55dde5a2b5e2a967620412457eac8b15482997820ff3bceb5,2016-03-26,2016-03-26 10:02:38,5394,21576,5736.82,5735.68,1.13638
404351,3c6af5787d6cbec918f80a8f32804e67c4f7dca3505fd6b1860aa5fd46d973f6,2016-03-26,2016-03-26 10:02:38,59775,239100,210298,210285,12.5742
404351,1a4b9e3c16f04f4c703614240be11e646eb93b30ac6ff1b7b9b947c1768a99c6,2016-03-26,2016-03-26 10:02:38,60094,240376,210302,210289,12.6413
404351,29f623b61239618889cd5fb92b9b3a3e393fb21bb8abdd7285783b6a2e86e188,2016-03-26,2016-03-26 10:02:38,57164,228656,210301,210289,12.0233
404351,c44d51867a45cce509195120ec42753271953b4614bd9f76037f6190af044863,2016-03-26,2016-03-26 10:02:38,59181,236724,210297,210285,12.4457
404352,efe56d79db835f775a0a1286bc3b69df6ed550d36029c9e8c474f1f5cf022945,2016-03-26,2016-03-26 10:04:51,8599,34396,16.9901,15.7705,1.21965
404352,4d3c669ff511fe916116557f9679c30a4a8c4b3b956eb3a3bc4ae0370928f7d2,2016-03-26,2016-03-26 10:04:51,19537,78148,86.4299,84.2245,2.20539
404352,5776e79fc82527dbfd317fd69083ea3e7b762b6f02b8e77fe65bb06d71900a6e,2016-03-26,2016-03-26 10:04:51,32646,130584,25978,25974.8,3.15849
404353,7ee0d16ec3a0902baee4dee0336c79bb25813650217882110f8f15b44e30eb25,2016-03-26,2016-03-26 10:35:10,62446,249784,210298,210285,13.1376
404353,a452c7049db3427574b0bfde4b8e25e5e2a3ac77d8375bcba4004f9ce6856584,2016-03-26,2016-03-26 10:35:10,485,1940,210298,210285,13.4784
404353,76b9b078b23d5f57179c8705793d1da6da8014f9708728aa4a59d4611993d0cf,2016-03-26,2016-03-26 10:35:10,632,2528,210298,210285,13.0425
404353,f91bb1fc9273a0ec71c1b52fb6f5e226dcf101ddb56e459bddf25c03726fc6f2,2016-03-26,2016-03-26 10:35:10,2292,9168,2982.6,2978.73,3.86588
404353,d779838e5efe56d9cc87c4963466bb1138571a612b1759ce6f49f1109e7064b6,2016-03-26,2016-03-26 10:35:10,1369,5476,4283.08,4281.82,1.26087
404353,901259afc21fee262d2af2c63d3c06ea9bd794a36ce8ed6bbcd303656c2e4ea1,2016-03-26,2016-03-26 10:35:10,62287,249148,210298,210285,13.1388
404353,3db041759e12a10ab3025c41253cb7eaaf0b48dd229e3a4392eeb4a38958d5f0,2016-03-26,2016-03-26 10:35:10,60836,243344,210302,210289,12.8291
404353,12662ebb2ffe287657c6320a86cd909862d388507b0d75d1d913f92e960e5c9d,2016-03-26,2016-03-26 10:35:10,61738,246952,210302,210289,13.0164
404353,c6e79c9dc948a657c06c010e5aa35866ae85c808fe6171b3a6679c0fd9d455bd,2016-03-26,2016-03-26 10:35:10,63471,253884,210298,210285,13.3802
404353,f50b015c7a0d2e7021a03a2ebdf4068438c5be5ea44a3b76403bdbe5f709dd09,2016-03-26,2016-03-26 10:35:10,60557,242228,210302,210289,12.7654
404353,f2b39f42061c9018053df05ea51dda0c45786866acbeea6c5ac60a847312a668,2016-03-26,2016-03-26 10:35:10,62169,248676,210302,210289,13.1045
404353,f86baa976c353b18eef8377d2168002470f9749dcc05af88f8ffb6b0ff8465f5,2016-03-26,2016-03-26 10:35:10,61994,247976,210298,210285,13.0459
404353,a26b4fbf9a237daf9b0d0967d34daeb08e191c66ba46848f9febb65e83873d6d,2016-03-26,2016-03-26 10:35:10,63028,252112,210298,210285,13.2612
404353,7b4b5772b259da678e4973fc14a36981cf1b209342dcd5954b19f332826cf9f1,2016-03-26,2016-03-26 10:35:10,63909,255636,210298,210285,13.4465
404353,b27c1373432d122adda313586563e80b7fdb6a730025e5a8937ec43dac70145d,2016-03-26,2016-03-26 10:35:10,61704,246816,210298,210285,12.9803
404353,48595bdc7f2eeb0455601f976cafb5c78d1c9ac5e91f100d015eded9cca92a0b,2016-03-26,2016-03-26 10:35:10,61278,245112,210302,210289,12.8903
