block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509076,588a84854651dbe971b09f6657734bae9d6a81c208b3079d9850e229befecdf3,12/19/17 03:52,5390,1,509032,0,36,2,1003504677,27112.2871,1001000047,27044.6191,2504630,67.6691,464681,12.5546,0.557971412
509338,653d00a5ca83f2596026ed4f360aaba3271eddca59790aa9840479beb6547a13,12/20/17 17:03,2439,2,0,0,16,2,37615108,1524.9767,36015108,1460.1101,1600000,64.8666,656007,26.5956,0.087325111
510028,819fc8d9e29bfb54307b1147500bd2e89a5afcb03bacc796b0da2bbb21e8dc90,12/25/17 16:26,5680,1,510027,0,38,2,1003182000,29730.7012,1001000030,29666.0371,2181970,64.6657,384150,11.3848,0.009374216
509492,899ba4a7251bb793533419e667c5582ec4818a4796dc6e383a85c2507e409a80,12/21/17 21:39,4506,1,509491,0,30,2,1002860041,34733.8555,1001000001,34669.4336,1860040,64.4221,412792,14.297,0.078662784
509341,348cd4ef7c7eda19a57172df46f1216e764af24800e10662b8c4bcf38876151b,12/20/17 18:28,11437,2,0,0,77,2,12141259178,492226.0625,12139759178,492165.25,1500000,60.8124,131153,5.3172,29.55139456
509392,ccaa2f2c136939e7d65625f96c3af5a0af03b9a17e494bcedb48caa2afccf417,12/21/17 03:45,4208,1,509391,0,28,2,1002750580,34730.0664,1001000040,34669.4375,1750540,60.6296,416003,14.4082,0
509398,8bd609df46e66dee7806d0f5d259157baac730230764026aaf38ce0d1f86129a,12/21/17 04:12,17179,2,509397,0,116,2,7002857879,242542.5781,7001133279,242482.8438,1724600,59.7312,100390,3.477,0
509176,1750c75b381aea55d2f6965b5daf9ab1699c9cf9512464dd7cb1df518be2ea70,12/19/17 20:58,4794,1,509175,0,32,2,1003180170,27103.5215,1001000025,27044.6191,2180145,58.9023,454765,12.2867,0
509319,3553de30e64f866fdaaef1e18a0975edfe6fc1dfcab3991f86331982916d864a,12/20/17 14:03,4504,2,509318,0,30,2,132498682,5371.7085,131052922,5313.0952,1445760,58.6134,320995,13.0137,0
510055,9434a33650a2f12774a304ae5361c337ca3d333162f11f24dc126af5b4b01648,12/25/17 21:14,17449,1,0,0,118,1,19665412560,582812,19663438336,582753.5,1974224,58.5089,113143,3.3532,148914.7827
509585,12b6a8e7cdaf0faa95d91e8d7ab96465141b0ce51b35acccd3acb2ecb4778be8,12/22/17 15:26,5389,1,509546,0,36,2,1003020552,28812.0664,1001000277,28754.0332,2020275,58.033,374889,10.7688,0
509534,da5509a7762c692ac924e7ef4b9c283a7692a948598d645dff66292280ef5460,12/22/17 06:59,5239,1,509533,0,35,2,1003019248,28812.0293,1001000068,28754.0273,2019180,58.0016,385413,11.0711,0
